year,fmp_subarea,prop_sst
2003,AI,0.7299323684987991
2003,EBS,0.9133011861451679
2004,AI,0.6195245605776277
2004,EBS,0.9269236829799843
2005,AI,0.6898266102181908
2005,EBS,0.8664556095509665
2006,AI,0.7492348709338703
2006,EBS,0.954293269616654
2007,AI,0.8826422897053379
2007,EBS,0.9699038445708419
2008,AI,0.9324953502058252
2008,EBS,0.9608314928254268
2009,AI,0.9240351656896477
2009,EBS,0.9941714135208413
2010,AI,0.9121814640411912
2010,EBS,0.9622220677448724
2011,AI,0.9344744085808346
2011,EBS,0.995332622351822
2012,AI,0.9842718037169956
2012,EBS,0.9365058367335984
2013,AI,0.9799696556428581
2013,EBS,0.9776466166120386
2014,AI,0.9638382208721525
2014,EBS,0.9867175018654919
2015,AI,0.9811968220511342
2015,EBS,0.9769610953677829
2016,AI,0.9997002239461491
2016,EBS,0.9551068222836896
2017,AI,0.9924577076776582
2017,EBS,0.9948705537259155
2018,AI,0.986006759518141
2018,EBS,0.9955356890747137
2019,AI,0.9999623072099455
2019,EBS,0.9968040476725132
2020,AI,0.9992602701303792
2020,EBS,0.9984507614942577
2021,AI,1
2021,EBS,0.9999181009655784
